id,type,domain,enabled,date_added,date_modified,comment
180,0,urs.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
181,0,whitepapers.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
182,0,www.apex.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
183,0,www.bwp.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
184,0,www.cms.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
185,0,www.ct.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
186,0,www.dw.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
187,0,www.enews.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
188,0,www.itpapers.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
189,0,www.japan.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
190,0,www.li.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
191,0,www.ma.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
192,0,www.nls.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
193,0,www.secure.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
194,0,www.urs.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
195,0,www.whitepapers.techrepublic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
196,0,lh4.googleusercontent.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
197,0,csi.gstatic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
198,0,hello.myfonts.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
199,0,use.typekit.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
200,0,seal.verisign.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
201,0,cdn.jsdelivr.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
202,0,www.bing.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
203,0,cse.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
204,0,sls.update.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
205,0,i1.social.s-msft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
206,0,s-msft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
207,0,www.i1.social.s-msft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
208,0,i-technet.sec.s-msft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
209,0,fast.fonts.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
210,0,login.wikimedia.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
211,0,www.login.wikimedia.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
212,0,s.w.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
213,0,img-s-msn-com.akamaized.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
214,0,cdn.livechatinc.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
215,0,slack.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
216,0,join.slack.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
217,0,www.slack.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
218,0,www.join.slack.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
219,0,apple.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
220,0,s3-eu-west-1.amazonaws.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
221,0,jsdelivr.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
222,0,sites.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
223,0,mi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
224,0,www.mi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
225,0,maps.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
226,0,9to5google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
227,0,books.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
228,0,feedburner.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
229,0,safebrowsing.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
230,0,spreadsheets.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
231,0,0.client-channel.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
232,0,akamaitechnologies.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
233,0,android.clients.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
234,0,api.ipify.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
235,0,app-api.ted.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
236,0,apps.skype.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
237,0,ax.phobos.apple.com.edgesuite.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
238,0,cdn2.optimizely.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
239,0,cdn3.optimizely.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
240,0,clientconfig.passport.net,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
241,0,c.s-microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
242,0,ctldl.windowsupdate.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
243,0,displaycatalog.mp.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
244,0,dl.delivery.mp.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
245,0,dl.dropbox.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
246,0,dns.msftncsi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
247,0,g.live.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
248,0,goo.gl,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
249,0,gravatar.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
250,0,hls.ted.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
251,0,icloud.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
252,0,imgs.xkcd.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
253,0,i.s-microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
254,0,m.hotmail.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
255,0,msftncsi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
256,0,ns1.dropbox.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
257,0,ns2.dropbox.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
258,0,officeclient.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
259,0,outlook.office365.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
260,0,pricelist.skype.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
261,0,products.office.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
262,0,s.gateway.messenger.live.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
263,0,support.microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
264,0,ui.skype.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
265,0,www.icloud.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
266,0,www.msftncsi.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
267,0,2.android.pool.ntp.org,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
268,0,www.youtube-nocookie.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
269,0,youtube-nocookie.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
270,0,appleid.apple.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
271,0,appsbackup-pa.googleapis.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
272,0,appsbackup-pa.clients6.google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
273,0,cdnjs.cloudflare.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
274,0,fonts.gstatic.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
275,0,onedrive.live.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
276,0,google.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
277,0,yahoo.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
278,0,microsoft.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
279,0,skype.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
280,0,linkedin.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
281,0,vimeo.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
282,0,youtu.be,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
283,0,wordpress.com,1,1590441928,1590441928,"Migrated from /etc/pihole/whitelist.txt"
